time,date,run,ahu1_fan_power,ahu1_heat_power,ahu2_heat_power,ch1_power,ahu2_fan_power,dx_c1_power,ch2_power,dx_c2_power,exf1_power,exf2_power,oau_fan_power,oau_heat_power,pump1_power,pump2_power,pump4_power,pump5_power,pump3_power,vav1_heat_power,vav2_heat_power,vav3_heat_power,vav4_heat_power,zs1_heat_power,zs2_heat_power,zs3_heat_power,zs4_heat_power
2023-11-22 11:56:41.007000-05:00,2023-11-22,1,2.006223,1.981589,1.989106,1.002851,2.000987,0.000987306619,1.000474,0.000890695575,1.010286,2.015709,1.999811,0.000810186372,1.007681,0.998344362,2.013016,2.004757,1.009786,1.999776,2.014394,2.015752,2.006626,2.010686,2.0099,2.018797,2.018832
2023-11-22 11:56:51.007000-05:00,2023-11-22,1,2.011296,1.982299,1.989789,1.003663,2.003626,0.000858491893,1.000458,0.000842390053,1.010223,2.005975,1.999263,0.000922899256,1.008688,1.008937,2.013671,2.007301,1.012438,2.009358,2.016368,2.005965,2.013517,2.013662,2.012408,2.019033,2.019758
2023-11-22 11:57:01.007000-05:00,2023-11-22,1,2.007543,1.981928,1.989449,1.000477,2.00196,0.000987306619,1.000778,0.000874593734,1.011229,2.016132,1.999972,0.000858491893,1.008592,0.999686393,2.013274,2.005828,1.010297,2.002396,2.015439,2.016101,2.008569,2.011737,2.010777,2.019092,2.019421
2023-11-22 11:57:11.007000-05:00,2023-11-22,1,2.004114,1.982343,1.989907,1.000446,2.010786,0.000922899256,0.999116793,0.000874593734,1.009296,2.016186,2.002485,0.000826288212,1.007825,1.010263,2.013747,2.014333,1.008987,2.015777,2.002669,2.014946,2.017764,2.020234,2.018392,2.019683,2.015504
2023-11-22 11:57:21.007000-05:00,2023-11-22,1,2.005799,1.981524,1.989184,0.998661531,2.009238,0.000922899256,0.998158466,0.000826288212,1.009216,2.015781,1.997169,0.000874593734,1.005028,1.00833,2.012968,2.010009,1.011847,2.012123,2.009695,2.015626,2.008132,2.009802,2.015705,2.018934,2.01699
2023-11-22 11:57:31.007000-05:00,2023-11-22,1,2.005358,1.981595,1.98924,1.002198,2.010305,0.001003408,0.998126521,0.000922899256,1.009312,2.015902,1.997491,0.000858491893,1.01166,1.009448,2.013073,2.011189,1.013796,2.013939,2.008309,2.015588,2.009512,2.01074,2.016773,2.018948,2.016668
2023-11-22 11:57:41.007000-05:00,2023-11-22,1,2.007367,1.981528,1.989113,1.003313,2.002877,0.000906797415,0.995602925,0.000810186372,1.009472,2.015745,1.998844,0.000922899256,1.008576,1.008905,2.012991,2.004795,1.012166,2.002875,2.013529,2.015737,2.006202,2.010543,2.010441,2.01886,2.018614
2023-11-22 11:57:51.007000-05:00,2023-11-22,1,2.010357,1.982286,1.98983,1.001051,2.004141,0.000890695575,1.00089,0.000906797415,1.011517,2.006884,1.999327,0.000826288212,1.007761,0.991346631,2.013839,2.007975,1.008556,2.010617,2.016367,2.007744,2.014354,2.014232,2.012862,2.019185,2.015593
2023-11-22 11:58:01.007000-05:00,2023-11-22,1,2.00374,1.982358,1.989922,1.000318,2.010811,0.000890695575,1.000506,0.000842390053,1.010862,2.016272,2.001357,0.000874593734,1.007057,1.011637,2.013892,2.014386,1.008332,2.015914,2.00234,2.01503,2.01791,2.020356,2.018503,2.019821,2.015563
2023-11-22 11:58:11.007000-05:00,2023-11-22,1,2.008901,1.982129,1.989718,1.000557,2.002874,0.000874593734,0.999420264,0.001035612,1.009695,2.008822,2.000519,0.000890695575,1.006242,1.01111,2.013668,2.006578,1.007054,2.007609,2.016299,2.012902,2.012281,2.012936,2.011829,2.019118,2.019661
